"views","date_id","candidate"
42557,20151104,"Clinton"
25626,20160111,"Clinton"
469,20160407,"Clinton"
96,20160413,"Clinton"
74,20160524,"Trump"
178,20160314,"Clinton"
194,20151116,"Clinton"
4204,20151030,"Trump"
14736,20160211,"Trump"
4848,20160417,"Trump"
18183,20160316,"Clinton"
95,20160217,"Clinton"
11061,20160508,"Trump"
30130,20160123,"Clinton"
21491,20160126,"Trump"
1,20151126,"Clinton"
8796,20160105,"Clinton"
29230,20160114,"Clinton"
180,20151104,"Clinton"
341,20160416,"Clinton"
39,20160413,"Trump"
74,20160111,"Clinton"
6842,20160209,"Trump"
20854,20160510,"Clinton"
923,20160102,"Trump"
20061,20151219,"Clinton"
18942,20160507,"Clinton"
25597,20160125,"Clinton"
7833,20160319,"Clinton"
1188,20151221,"Trump"
19115,20160419,"Trump"
86,20160316,"Clinton"
63,20151207,"Clinton"
1051,20160513,"Clinton"
13317,20160218,"Trump"
346,20160123,"Clinton"
50,20160116,"Clinton"
291,20160407,"Clinton"
4223,20151105,"Trump"
18878,20160313,"Clinton"
24997,20160303,"Trump"
4336,20160416,"Trump"
157,20160105,"Clinton"
4540,20160114,"Clinton"
20,20151116,"Clinton"
6417,20160108,"Trump"
55829,20160302,"Trump"
56,20160510,"Trump"
762,20160217,"Clinton"
246,20151219,"Clinton"
729,20160507,"Clinton"
128,20160125,"Clinton"
13372,20160304,"Clinton"
55311,20160319,"Clinton"
5078,20151213,"Trump"
49,20160513,"Trump"
86,20160407,"Trump"
173,20151104,"Clinton"
12,20160111,"Clinton"
60,20160313,"Clinton"
16411,20160301,"Trump"
3870,20160520,"Clinton"
14070,20160226,"Trump"
4623,20160528,"Clinton"
27300,20151102,"Clinton"
8316,20160205,"Trump"
9456,20160320,"Clinton"
262,20160316,"Clinton"
2088,20151127,"Clinton"
6194,20160522,"Trump"
21313,20160227,"Trump"
149,20160304,"Clinton"
14,20160123,"Clinton"
7087,20160527,"Clinton"
9315,20160203,"Trump"
903,20151231,"Trump"
7028,20160117,"Trump"
10,20160105,"Clinton"
204,20160114,"Clinton"
37940,20151208,"Clinton"
26570,20160223,"Clinton"
31197,20160310,"Trump"
9313,20160520,"Clinton"
5961,20160113,"Trump"
93,20151219,"Clinton"
304,20160507,"Clinton"
45,20160125,"Clinton"
1324,20160528,"Clinton"
42841,20160201,"Trump"
733,20151102,"Clinton"
4698,20151210,"Trump"
74,20160319,"Clinton"
22576,20160320,"Clinton"
3282,20151224,"Clinton"
8863,20160526,"Trump"
24279,20151108,"Clinton"
82820,20160425,"Clinton"
247,20151127,"Clinton"
5811,20160408,"Trump"
7197,20160115,"Trump"
18145,20160228,"Trump"
908,20160527,"Clinton"
11248,20160221,"Trump"
4633,20160519,"Clinton"
7101,20160501,"Trump"
202,20160313,"Clinton"
9340,20160128,"Trump"
797,20151109,"Trump"
160,20151208,"Clinton"
832,20151204,"Trump"
541,20160223,"Clinton"
4497,20151130,"Clinton"
30,20160507,"Trump"
4668,20160415,"Trump"
26,20160319,"Trump"
501,20160304,"Clinton"
7622,20160220,"Trump"
414,20151224,"Clinton"
976,20151228,"Trump"
66,20151108,"Clinton"
346,20160425,"Clinton"
20122,20160216,"Trump"
50857,20151030,"Clinton"
25792,20160519,"Clinton"
436,20160520,"Clinton"
1168,20151220,"Trump"
324,20160528,"Clinton"
12,20151102,"Clinton"
122,20160320,"Clinton"
341,20151130,"Clinton"
2,20151127,"Clinton"
3792,20151125,"Trump"
825,20160527,"Clinton"
16248,20160209,"Clinton"
8642,20160329,"Trump"
670,20151030,"Clinton"
1164,20151208,"Clinton"
751,20160223,"Clinton"
645,20160520,"Trump"
17,20160528,"Trump"
15405,20160323,"Trump"
11,20160320,"Trump"
31946,20151105,"Clinton"
1234,20151222,"Trump"
12358,20160303,"Clinton"
1598,20151216,"Trump"
9,20151224,"Clinton"
7210,20160404,"Trump"
5,20151108,"Clinton"
119,20160425,"Clinton"
32,20160527,"Trump"
13223,20160108,"Clinton"
16051,20160302,"Clinton"
25522,20160504,"Trump"
111,20160209,"Clinton"
356,20160519,"Clinton"
27315,20151213,"Clinton"
1182,20151214,"Trump"
2,20151130,"Clinton"
369,20151105,"Clinton"
22944,20160301,"Clinton"
92,20160303,"Clinton"
72307,20160226,"Clinton"
113,20160425,"Trump"
19467,20160205,"Clinton"
354,20160108,"Clinton"
81,20160302,"Clinton"
155,20160519,"Trump"
86,20151030,"Clinton"
7399,20160518,"Trump"
31039,20160227,"Clinton"
933,20151202,"Trump"
6762,20160514,"Trump"
427,20151213,"Clinton"
9290,20151230,"Trump"
17673,20160117,"Clinton"
5937,20160104,"Trump"
250,20160301,"Clinton"
17279,20160209,"Clinton"
36411,20160113,"Clinton"
27451,20160311,"Trump"
165,20160226,"Clinton"
29603,20160201,"Clinton"
2176,20151209,"Trump"
29490,20151210,"Clinton"
125,20160205,"Clinton"
7840,20160516,"Trump"
132,20160227,"Clinton"
21455,20160115,"Clinton"
44978,20160221,"Clinton"
4133,20151120,"Trump"
17497,20160501,"Clinton"
8886,20160327,"Trump"
71,20151105,"Clinton"
605,20160117,"Clinton"
348,20160303,"Clinton"
54804,20160128,"Clinton"
60,20160108,"Clinton"
357,20160302,"Clinton"
3825,20151119,"Trump"
81,20160113,"Clinton"
418,20160201,"Clinton"
1190,20160110,"Trump"
325,20151210,"Clinton"
